label_fr,description,simple,fautes
typhoïde,"À cause des vomissements et de la diarrhée, j'ai beaucoup de difficultés à rester hydraté. J'ai aussi une légère fièvre et des douleurs à l'estomac.","À cause des vomissements et de la diarrhée, j'ai du mal à rester hydraté. J'ai aussi une petite fièvre et des douleurs au ventre.","A cause des vomiseman et de la diaré, j'ai du mal a resté hydraté. J'ai aussi une petite fiévre et des douleur au ventre."
diabète,Ma blessure guérit plus lentement ces jours-ci. Mes pieds et mes mains picotent et s'engourdissent. Je me sens très fragile.,Ma blessure guérit plus lentement. Mes pieds et mes mains picotent et s'engourdissent. Je me sens très fragile.,Ma blésure guéri plu lanteman. Mes pié et mes main picote et s'engourdi. Je me sen tré fragile.
arthrite,"J'ai ressenti une faiblesse musculaire et une raideur dans mon cou récemment. Mes articulations sont enflées, ce qui rend difficile pour moi de marcher sans devenir raide. Marcher est aussi extrêmement inconfortable.","J'ai eu des faiblesses dans mes muscles et mon cou est raide récemment. Mes articulations sont gonflées, ce qui rend dur de marcher sans être raide. Marcher est aussi très inconfortable.","J'ai eu des faiblesse dans mes musclé et mon cou est raide récement. Mes articulation son gonflé, ce qui rend dur de marcher sans etre raide. Marcher est aussi tré inconfortable."
rhume,"J'ai une toux et un rhume désagréables depuis des jours. Mes sinus sont congestionnés, et j'ai une pression faciale. J'ai aussi toussé des mucosités, et cela me fait mal à la poitrine. Je ne sens rien et mes muscles me font mal.",J'ai une grosse toux et un rhume depuis plusieurs jours. Mon nez est bouché et j'ai mal au visage. Je tousse beaucoup et ça me fait mal à la poitrine. Je ne sens rien et mes muscles me font mal.,J'ai une grose toux et un rhume depui pluieur jour. Mon nez est bouché et j'ai mal au visage. Je tousse beaucou et sa me fais mal a la poitrine. Je ne sen rien et mes muscle me font mal.
spondylose cervicale,"Je ressens des douleurs dans le dos, des douleurs au cou, des étourdissements fréquents et une perte d’équilibre.","J’ai mal au dos, j’ai mal au cou, je me sens étourdie et j’ai du mal à garder l’équilibre.","J’ai mal o dos, j’ai mal o cou, je me sen étourdi et j’ai du mal a gardé l’équilibre."
réaction médicamenteuse,Je ressens des changements dans mon cycle menstruel et des pertes vaginales inattendues. J'ai souvent des sautes d'humeur et je me sens agitée de temps en temps.,Je ressens des changements dans mon cycle menstruel et des pertes vaginales inattendues. J'ai souvent des sautes d'humeur et je me sens agitée de temps en temps.,Je ressens des changements dans mon cycle menstruel et des pertes vaginales inattendues. J'ai souvent des sautes d'humeur et je me sens agité de temps en temps.
diabète,"J'éternue constamment et j'ai une toux sèche. Mes infections ne semblent pas guérir, et j'ai des palpitations. Ma gorge me fait mal parfois, mais ça va mieux après.","J'éternue tout le temps et j'ai une toux sèche. Mes infections ne guérissent pas, et j'ai des palpitations. Ma gorge me fait mal parfois, mais ça va mieux après.","J'éternue tou le tan et j'ai une tou sèche. Mes infection ne guérisse pa, et j'ai des palpitation. Ma gorge me fai mal parfoi, mai sa va mieu apré."
acné,Je viens de développer une éruption cutanée avec plusieurs boutons remplis de pus et des points noirs. Ma peau est également très sensible.,Je viens de développer une éruption cutanée avec plusieurs boutons pleins de pus et des points noirs. Ma peau est aussi très sensible.,Je viens de développé une éruption cutané avec plusieurs bouton plein de pus et des point noir. Ma peau est aussi tré sensible.
psoriasis,"J'ai remarqué un pelage soudain de la peau à différents endroits de mon corps, principalement sur mes bras, mes jambes et mon dos. De plus, j'ai des douleurs articulaires sévères et des éruptions cutanées.","J'ai remarqué que ma peau s'enlève soudainement à différents endroits de mon corps, surtout sur mes bras, mes jambes et mon dos. J'ai aussi des douleurs aux articulations et des boutons.","J'ai remarqué que ma peau senleve soudainement a diférent endroit de mon corps, surtou sur mes bras, mes jambe et mon dos. J'ai aussi des douleur au articulation et des bouton."
arthrite,"Mon cou est très tendu, et je me sens comme si mes muscles étaient incroyablement faibles. J'ai du mal à bouger car mes articulations sont enflées. Marcher est vraiment douloureux.",Mon cou est très tendu et mes muscles sont très faibles. Mes articulations sont gonflées et j'ai du mal à bouger. Marcher me fait mal.,Mon cou é tré tendu et mes muscl son tré faible. Mes articulation son gonflé et j'ai du mal a bougé. Marché me fais mal.
